term_id,preferred_term,part_of_speech,definition,usage_context,forbidden_variants,status,source_locations
applicationset,ApplicationSet,proper noun,"The Argo CD CRD/controller that generates multiple Application resources from a set of parameters (Git directories, clusters, pull requests, etc.).",CRD/API name; used across operator-manual/applicationset/*; component name argocd-applicationset-controller,AppSet;App Set;app-set;Appset,approved,"docs/operator-manual/applicationset/*.md; docs/operator-manual/server-commands/argocd-applicationset-controller.md"
appproject,AppProject,proper noun,"The Argo CD CRD that groups Applications and defines RBAC, source/destination restrictions for a project.",CRD/API kind name; declarative-setup and RBAC docs,Application Project;App Project,approved,"docs/operator-manual/declarative-setup.md; docs/user-guide/source-integrity.md"
destination,destination cluster,noun phrase,"The Kubernetes cluster an Application's resources are deployed to, as specified in spec.destination.",Application spec field name and prose describing where resources are deployed,target cluster,approved,"docs/operator-manual/declarative-setup.md; docs/operator-manual/secret-management.md; docs/operator-manual/applicationset/*.md"
outofsync-status,OutOfSync,proper noun,"The literal Application sync-status enum value shown in the CLI/UI when the live state deviates from the desired Git state.",Code literals, CLI/UI output, API status.sync.status field,Out of Sync,approved,"docs/getting_started.md; docs/index.md; docs/operator-manual/architecture.md"
out-of-sync-description,out of sync / out-of-sync,adjective,"Prose description of an Application whose live state does not match Git. Predicate form ('is out of sync') is unhyphenated; attributive form ('out-of-sync status') is hyphenated per standard English usage — both are correct in their grammatical position.",Prose/narrative descriptions of sync state,N/A (context-dependent hyphenation is correct; flag only mid-sentence inconsistency within the same document),approved,"docs/faq.md; docs/operator-manual/cluster-bootstrapping.md; docs/operator-manual/upgrading/2.14-3.0.md"
config-management-plugin,Config Management Plugin (CMP),noun,"A user-defined plugin that generates Kubernetes manifests from a source that Argo CD does not natively support (e.g. a custom templating tool).",Expanded on first use per page, abbreviated CMP thereafter,N/A — current expand-then-abbreviate pattern is correct practice,approved,"docs/operator-manual/config-management-plugins.md; docs/operator-manual/high_availability.md"
sso,Single Sign-On (SSO),noun,"Authentication approach where a user logs in once via an external identity provider (OIDC/OAuth2) to access Argo CD and other systems.",Security and user-management docs,N/A — expand once per page before using SSO,needs stakeholder input,"docs/index.md; docs/security_considerations.md; docs/getting_started.md; docs/operator-manual/custom-styles.md; docs/operator-manual/declarative-setup.md; docs/operator-manual/user-management/*.md"
git-repository,Git repository,noun phrase,"The external Git repository that stores the desired-state manifests Argo CD syncs from.",General prose describing the source of truth,git repo,provisional,"docs/operator-manual/security.md; docs/operator-manual/cluster-bootstrapping.md; docs/operator-manual/applicationset/Generators-Merge.md"
repo-server,repo-server,proper noun,"The argocd-repo-server component/pod that clones and caches Git/Helm repositories and renders manifests. A distinct system component, not a synonym for 'Git repository.'",Architecture and operator-manual docs referring to the running service,Repository Server (as a synonym for the concept 'Git repository' — keep repo-server strictly for the component),approved,"docs/operator-manual/high_availability.md; docs/developer-guide/architecture/components.md"
resource-hook,resource hook,noun phrase,"A Kubernetes manifest annotated with argocd.argoproj.io/hook that Argo CD runs at a specific point in the sync lifecycle (PreSync, Sync, PostSync, SyncFail).",Sync-waves and annotations docs,Resource Hook (capitalize only in headings),approved,"docs/user-guide/sync-waves.md; docs/user-guide/annotations-and-labels.md; docs/operator-manual/applicationset/Progressive-Syncs.md"
rollback,rollback,noun/verb,"Restoring an Application to a previously deployed Git revision using Argo CD's built-in history mechanism.",Application operations, CLI commands,N/A — distinct from 'revert' (see notes),approved,"docs/index.md; docs/operator-manual/architecture.md; docs/user-guide/auto_sync.md"
